iter	MultiClass
0	0.6621451714
1	0.6341400072
2	0.6085182033
3	0.5852477631
4	0.5638352299
5	0.5442428812
6	0.5262594659
7	0.5094782019
8	0.4941715445
9	0.4802306673
10	0.4673628317
11	0.4551018827
12	0.4438877338
13	0.4334556912
14	0.4235612593
15	0.4142916206
16	0.4057382958
17	0.3978208304
18	0.3904159089
19	0.3833390945
20	0.3768482968
21	0.3707433276
22	0.3649259131
23	0.3594843134
24	0.3545390658
25	0.3498944321
26	0.3454656832
27	0.34139444
28	0.3374715173
29	0.3339305026
30	0.3304219743
31	0.3271243929
32	0.3239488979
33	0.3210296167
34	0.3182955903
35	0.3157270162
36	0.3133414621
37	0.3110491627
38	0.30880957
39	0.3067724605
40	0.3047726693
41	0.3028819313
42	0.3011309901
43	0.2994748689
44	0.2979387465
45	0.2964757013
46	0.2951092337
47	0.2937763837
48	0.2925558005
49	0.291383523
50	0.2903153336
51	0.2892831937
52	0.2882697538
53	0.2872898705
54	0.2863603901
55	0.2854445364
56	0.2846591232
57	0.2838596535
58	0.2831052918
59	0.2823866598
60	0.2816752685
61	0.281021391
62	0.2807900737
63	0.2802038727
64	0.2799278087
65	0.2793192953
66	0.2787738832
67	0.2784796046
68	0.2779648514
69	0.2775246175
70	0.277096399
71	0.2767263235
72	0.2763055226
73	0.276074074
74	0.2756720032
75	0.2755019912
76	0.2751169857
77	0.2747725098
78	0.2746123374
79	0.2742515236
80	0.2739886731
81	0.2737231084
82	0.2734124709
83	0.2731812053
84	0.272903119
85	0.2726364689
86	0.2724340149
87	0.2723460834
88	0.2720674227
89	0.2719780093
90	0.2717449431
91	0.2715208201
92	0.2713174923
93	0.271114389
94	0.2710722449
95	0.2708976321
96	0.2707430239
97	0.2706575012
98	0.2706250276
99	0.2704351827
100	0.2703227131
101	0.270234727
102	0.2700507999
103	0.2699517351
104	0.2699241926
105	0.2698357121
106	0.2697974431
107	0.2697692713
108	0.2696770911
109	0.269648665
110	0.2695241461
111	0.2693932709
112	0.2693254452
113	0.2692657885
114	0.2691961025
115	0.2690884933
116	0.2690468176
117	0.2689895646
118	0.2688821614
119	0.2688363422
120	0.2687371419
121	0.268674989
122	0.268628647
123	0.2685381883
124	0.2684829963
125	0.268390744
126	0.2683513038
127	0.2683398055
128	0.2682620399
129	0.2681853166
130	0.2681600927
131	0.2680851531
132	0.2680672375
133	0.2680446183
134	0.2680113487
135	0.267946052
136	0.2679144492
137	0.2678704606
138	0.2678052536
139	0.2677769859
140	0.2677511557
141	0.2676789378
142	0.2676628681
143	0.2676117536
144	0.2675945825
145	0.2675724498
146	0.2675140876
147	0.2674669014
148	0.2674475231
149	0.2673963102
150	0.2673673442
151	0.2673296504
152	0.2673125781
153	0.2672762851
154	0.2672270809
155	0.2671996816
156	0.2671744912
157	0.2671652803
158	0.2671345239
159	0.2671252417
160	0.2670948629
161	0.2670741648
162	0.2670324358
163	0.2670168848
164	0.266992502
165	0.2669646694
166	0.2669494605
167	0.2669093139
168	0.2669038347
169	0.2668491138
170	0.2668226638
171	0.2667954354
172	0.2667812341
173	0.2667612454
174	0.2667485729
175	0.2667315053
176	0.2667165337
177	0.266695453
178	0.2666783944
179	0.2666703458
180	0.266650282
181	0.266635535
182	0.2666179806
183	0.2666062741
184	0.2665987226
185	0.2665602623
186	0.2665541528
187	0.2665423624
188	0.2665360731
189	0.2665228094
190	0.2665141102
191	0.2664989632
192	0.2664816732
193	0.2664570353
194	0.2664221251
195	0.2664125054
196	0.2663968579
197	0.2663874414
198	0.2663717983
199	0.2663468321
200	0.2663427036
201	0.2663247687
202	0.2663163612
203	0.2663043702
204	0.2662711329
205	0.2662605033
206	0.2662509001
207	0.266243619
208	0.2662342275
209	0.2662105563
210	0.2662000332
211	0.2661868255
212	0.2661727736
213	0.2661659545
214	0.2661602483
215	0.2661524662
216	0.2661259411
217	0.2660989059
218	0.266075453
219	0.266067406
220	0.2660427129
221	0.266038073
222	0.2660274213
223	0.2660190477
224	0.2660046549
225	0.265984885
226	0.2659789227
227	0.2659755397
228	0.2659698075
229	0.2659648313
230	0.2659544997
231	0.2659341842
232	0.2659083739
233	0.2658994806
234	0.2658939295
235	0.2658791715
236	0.2658453682
237	0.2658378441
238	0.2658266285
239	0.2658223645
240	0.2658157305
241	0.2658070717
242	0.2657922848
243	0.2657716759
244	0.2657625131
245	0.2657556854
246	0.2657514434
247	0.2657451361
248	0.2657338523
249	0.2657015724
250	0.2656946862
251	0.2656723987
252	0.2656644198
253	0.2656549006
254	0.2656499534
255	0.2656411882
256	0.2656287914
257	0.2656172396
258	0.2655982357
259	0.2655926885
260	0.26557345
261	0.2655525621
262	0.2655418118
263	0.2655362396
264	0.2655299249
265	0.2655246122
266	0.2655152931
267	0.2655069781
268	0.2654996357
269	0.2654930048
270	0.2654887039
271	0.2654828747
272	0.265473288
273	0.2654701464
274	0.2654621366
275	0.2654545119
276	0.2654505018
277	0.2654391284
278	0.2654261532
279	0.2654163036
280	0.2654081308
281	0.2654021925
282	0.2653908903
283	0.2653773742
