iter	Passed	Remaining
0	166	199666
1	195	116827
2	221	88405
3	248	74213
4	276	66058
5	303	60444
6	329	56147
7	356	53074
8	385	50970
9	414	49303
10	441	47763
11	472	46744
12	498	45512
13	526	44586
14	553	43757
15	583	43167
16	610	42490
17	640	42036
18	673	41854
19	703	41482
20	734	41251
21	766	41061
22	798	40852
23	828	40612
24	862	40522
25	896	40485
26	935	40635
27	964	40352
28	994	40141
29	1025	39999
30	1058	39906
31	1088	39721
32	1115	39458
33	1141	39146
34	1169	38928
35	1195	38664
36	1224	38485
37	1250	38252
38	1278	38064
39	1303	37815
40	1333	37693
41	1360	37516
42	1388	37373
43	1415	37200
44	1441	37002
45	1468	36830
46	1494	36668
47	1523	36552
48	1548	36379
49	1574	36202
50	1600	36053
51	1629	35966
52	1653	35792
53	1691	35892
54	1720	35808
55	1746	35683
56	1771	35520
57	1798	35402
58	1823	35271
59	1852	35195
60	1881	35137
61	1914	35134
62	1939	35010
63	1967	34931
64	1997	34878
65	2026	34817
66	2053	34733
67	2086	34725
68	2116	34695
69	2147	34673
70	2176	34607
71	2206	34562
72	2234	34489
73	2261	34406
74	2299	34492
75	2329	34452
76	2358	34390
77	2389	34375
78	2418	34315
79	2448	34281
80	2476	34215
81	2510	34224
82	2544	34242
83	2571	34166
84	2597	34074
85	2625	34013
86	2655	33975
87	2683	33907
88	2710	33830
89	2740	33793
90	2769	33750
91	2794	33659
92	2818	33552
93	2844	33469
94	2870	33390
95	2897	33324
96	2928	33295
97	2954	33223
98	2979	33131
99	3005	33061
100	3030	32978
101	3055	32888
102	3079	32803
103	3108	32761
104	3133	32677
105	3157	32588
106	3181	32503
107	3208	32436
108	3232	32353
109	3259	32297
110	3283	32209
111	3310	32163
112	3338	32112
113	3364	32055
114	3394	32024
115	3421	31971
116	3445	31896
117	3473	31845
118	3502	31813
119	3530	31776
120	3556	31716
121	3581	31650
122	3609	31604
123	3634	31539
124	3663	31507
125	3691	31463
126	3715	31392
127	3742	31340
128	3766	31274
129	3791	31206
130	3816	31141
131	3840	31074
132	3866	31022
133	3892	30966
134	3919	30920
135	3946	30878
136	3973	30830
137	3997	30762
138	4022	30701
139	4050	30665
140	4075	30611
141	4101	30556
142	4124	30489
143	4149	30432
144	4175	30379
145	4200	30325
146	4227	30282
147	4256	30255
148	4285	30227
149	4313	30195
150	4339	30149
151	4365	30098
152	4391	30050
153	4418	30011
154	4444	29962
155	4472	29934
156	4498	29888
157	4524	29838
158	4548	29777
159	4572	29720
160	4598	29674
161	4625	29637
162	4651	29593
163	4678	29552
164	4704	29507
165	4731	29473
166	4757	29428
167	4785	29395
168	4809	29339
169	4839	29319
170	4862	29262
171	4889	29221
172	4915	29177
173	4941	29135
